game_name,title,view,dm,like,coin,collect,share,upload_date,url
使命召唤,给沉迷codm的儿子玩COD16,35.5万 ,256,2.7万,78,2060,489,2022-01-29,https://www.bilibili.com/video/BV1BT4y1y7FA
使命召唤,【使命召唤手游】射速天花板！全新MAC10枪匠配装来啦！,5.0万 ,124,3019,614,1597,20,2022-04-06,https://www.bilibili.com/video/BV17i4y1D7bb
使命召唤,玩排位跟不玩排位的看完都沉默了...【使命召唤手游】,1.4万 ,130,1005,25,64,10,2022-04-08,https://www.bilibili.com/video/BV1GF411G7Ff
使命召唤,【COD】使命召唤手游与端游对比（2）,45.2万 ,88,2577,162,1067,18,2021-08-05,https://www.bilibili.com/video/BV1j54y177Rr
使命召唤,C O D 高 质 量 集 锦,12.3万 ,191,6403,1166,1102,408,2021-11-05,https://www.bilibili.com/video/BV1qb4y1b7Cj
使命召唤,COD16部分军事风格人物皮肤（俄军篇）,10.5万 ,150,5389,344,2901,134,2021-12-24,https://www.bilibili.com/video/BV1Zb4y1v7JT
使命召唤,COD16的蝴蝶刀还挺帅 渐变紫真绝了,22.5万 ,31,2738,22,277,192,2022-01-28,https://www.bilibili.com/video/BV1RY41147dP
使命召唤,《COD19枪械过热炸膛动画流出》,54.2万 ,238,1.1万,248,2875,1827,2022-02-09,https://www.bilibili.com/video/BV1sq4y187nA
使命召唤,【COD16】巴雷特真实后坐力,694.3万 ,280,6.6万,3000,1.4万,4717,2020-07-15,https://www.bilibili.com/video/BV1FZ4y1u7kd
使命召唤,CFHD与COD17对比，这是一个时代的游戏？,158.6万 ,4003,2.5万,999,2861,2126,2021-06-11,https://www.bilibili.com/video/BV1Tq4y1L7DM
使命召唤,【B站首发】使命召唤13单人全剧情-COD13无限战争单人战役,146.6万 ,4.0万,7764,6954,1.9万,1979,2016-11-03,https://www.bilibili.com/video/BV1gs411x7Eq
使命召唤,C O D M 版 本 现 状,118.0万 ,361,2.8万,3316,1.4万,7144,2020-10-24,https://www.bilibili.com/video/BV1Ma4y1s7so
使命召唤,2023年COD不在更新新作T组宣布使命召唤20延期一年发布,4.7万 ,74,1823,111,436,181,2022-03-05,https://www.bilibili.com/video/BV1DT4y1S7Mb
使命召唤,属性超强三合一配件！罗马尼亚枪管正式上线！属性虽好机动拉夸！谨慎选择！《使命召唤手游》AK47配置分享,1.1万 ,27,957,99,130,7,2022-04-10,https://www.bilibili.com/video/BV1YZ4y127Em
game_name,title,view,dm,like,coin,collect,share,upload_date,url
使命召唤,为什么所有人都在骂COD17,61.8万 ,1797,2.3万,4726,2844,1235,2020-11-24,https://www.bilibili.com/video/BV11f4y1v7Rn
使命召唤,【使命召唤手游】干货！热知识！每一个COD玩家都应该知道！,11.3万 ,359,5326,1140,2337,34,2022-03-02,https://www.bilibili.com/video/BV1iS4y1679e
使命召唤,144帧的cod16真爽,1.1万 ,4,212,3,44,3,2022-04-03,https://www.bilibili.com/video/BV1wa411i7AN
使命召唤,暴力的象征！玩家最爱的喷子皮肤来了！高性价比紫皮！颜值与手感的完美结合！喜欢喷子的玩家不要错过！《使命召唤手游》KRM262彩绘涂鸦,2.1万 ,215,1682,365,222,19,2022-04-09,https://www.bilibili.com/video/BV1e3411J7xf
使命召唤,【使命召唤手游】学会这些点位，竟能把对手打破防?!,1.7万 ,143,1534,229,183,7,2022-04-08,https://www.bilibili.com/video/BV195411m7a1
