game_name,title,view,dm,like,coin,collect,share,upload_date,url
命运战士,【R级爽游】命运战士1 游戏预告,427 ,0,5,投币,1,2,2020-04-28,https://www.bilibili.com/video/BV1654y1Q71F
命运战士,【原神配队】好家伙，四个人没一个吉利的！,35.9万 ,241,3.2万,520,2689,613,2022-01-27,https://www.bilibili.com/video/BV1Vb4y1n7fu
命运战士,【1080P修复】铠甲勇士①—《命运战士》我们是铠甲勇士！,2.3万 ,59,1685,225,397,35,2020-06-24,https://www.bilibili.com/video/BV1ez4y1Q7rJ
命运战士,0000000陈致逸-命运战士 ( 《铠甲勇士》动画主题曲)(超清),91 ,0,2,投币,收藏,分享,2020-12-19,https://www.bilibili.com/video/BV1HA411s7za
命运战士,(摇滚)命运战士 S.S.H【每日推荐】,10 ,0,2,2,收藏,分享,2021-10-16,https://www.bilibili.com/video/BV1Fu411f777
命运战士,（fgo燃剪）命运战士，我们是月厨玩家,226 ,0,3,2,1,9,2018-09-05,https://www.bilibili.com/video/BV1QW411Z74S
命运战士,（新人作）纳米核心剪辑/铠甲勇士1op：命运战士,7443 ,71,115,178,194,56,2017-12-04,https://www.bilibili.com/video/BV17W411Y7Ze
命运战士,【经典重玩】《命运战士》第三期,213 ,1,4,投币,收藏,1,2018-12-04,https://www.bilibili.com/video/BV1Gt411Q7qB
命运战士,FGO宝具脑洞版第8话——命运战士,2310 ,6,33,33,30,8,2018-07-23,https://www.bilibili.com/video/BV1as411P7d9
命运战士,这TM才是铠甲勇士原版mv,8715 ,33,297,54,137,18,2021-12-04,https://www.bilibili.com/video/BV1GF41187K2
命运战士,命运战士saber,260 ,0,15,5,7,3,2020-10-21,https://www.bilibili.com/video/BV1pt4y1i7PD
命运战士,【画面超赞！！！】快20年前的经典第一人称射击游戏《荣誉勋章：突出重围》的高清重制版mod,776 ,1,15,9,10,7,2021-03-18,https://www.bilibili.com/video/BV1Mb4y1Q7Sa
命运战士,Deep Purple - Soldier of fortune (1974),1027 ,0,18,3,31,10,2021-08-04,https://www.bilibili.com/video/BV1ro4y1S75J
命运战士,【手残带你玩游戏】命运战士：偿还 第三关 艰难一战！,1194 ,0,4,投币,4,9,2017-01-25,https://www.bilibili.com/video/BV1Rs411b7c1
命运战士,Soldier Of Fortune,6 ,0,点赞,投币,收藏,分享,2022-04-08,https://www.bilibili.com/video/BV1LZ4y12722
命运战士,命运战士3:偿还 -所有武器展示,7258 ,156,25,6,99,13,2017-08-19,https://www.bilibili.com/video/BV1Cx411J7yU
命运战士,[特摄翻唱系列]命运战士（铠甲勇士第1部主题曲）,203 ,0,7,2,1,1,2021-10-26,https://www.bilibili.com/video/BV1Ju411o7vW
命运战士,热血传奇怀旧版本长期复古命运战士挑战影之道。,143 ,0,1,投币,收藏,分享,2020-06-27,https://www.bilibili.com/video/BV1kz411e7LC
命运战士,命运战士,346 ,2,23,2,9,分享,2021-08-25,https://www.bilibili.com/video/BV1SM4y1V7uy
命运战士,【经典重玩】《命运战士》第二期,300 ,1,3,投币,收藏,2,2018-12-02,https://www.bilibili.com/video/BV1Ut411X7ic
命运战士,（4K修复）铠甲勇士之光影传奇OP主题曲： 命运战士！,1045 ,0,41,20,8,分享,2021-11-11,https://www.bilibili.com/video/BV1cq4y1k76i
命运战士,[成榕WHR]26届广州萤火虫动漫展览2021.05.03.自由舞台 个人唱铠甲勇士主题曲《命运战士》+《不败的英雄》 童年回忆杀,960 ,1,21,6,2,6,2021-05-04,https://www.bilibili.com/video/BV1vp4y1472q
命运战士,【铠甲勇士】命运战士,2563 ,6,22,7,25,2,2018-01-16,https://www.bilibili.com/video/BV1KW411v7rR
命运战士,【乐手网】陈致逸 - 命运战士架子鼓（动态鼓谱）演示,379 ,0,10,投币,18,2,2021-03-18,https://www.bilibili.com/video/BV1vK4y1U7xw
命运战士,An error was raised,,,,,,,,https://www.bilibili.com/video/BV1j3411x7tp
命运战士,命运战士3:偿还 - 所有武器装填&枪声展示,1.2万 ,162,216,21,148,9,2018-09-22,https://www.bilibili.com/video/BV1eW411r7Ym
命运战士,【4KHDR—60FPS】铠甲勇士主题曲《命运战士》,373 ,2,25,3,8,分享,2022-02-06,https://www.bilibili.com/video/BV1KP4y1P79v
命运战士,命运战士《铠甲勇士》动画主题曲,701 ,0,4,投币,收藏,4,2018-06-16,https://www.bilibili.com/video/BV1VW411c7fa
命运战士,命运战士-蓝老头,26 ,0,1,投币,收藏,分享,2022-03-13,https://www.bilibili.com/video/BV1KP4y137bw
命运战士,陈致逸 - 命运战士,253 ,0,4,投币,3,分享,2020-10-01,https://www.bilibili.com/video/BV1oa4y157Tb
命运战士,【1080P修复】铠甲勇士光影刑天OP《命运战士》 《不败的英雄》,1336 ,0,45,4,15,分享,2021-11-21,https://www.bilibili.com/video/BV1fq4y167st
命运战士,【手残带你玩游戏】命运战士：偿还 第二关,760 ,0,4,2,5,9,2017-01-25,https://www.bilibili.com/video/BV19s411b7Qz
命运战士,雾山铠甲之五行传奇,25.1万 ,612,2.0万,3777,3394,2145,2020-07-28,https://www.bilibili.com/video/BV1wi4y1G71x
命运战士,【铠甲勇士】地虎侠歌词补全，十方载纳之力,4.4万 ,137,599,15,170,20,2018-08-11,https://www.bilibili.com/video/BV1gs411u78W
命运战士,《铠甲勇士》主题曲《命运战士》MV,537 ,0,11,2,3,7,2020-09-08,https://www.bilibili.com/video/BV1c54y1y72z
命运战士,铠甲勇士第一部主题曲命运战士,99 ,0,7,投币,收藏,分享,2021-05-23,https://www.bilibili.com/video/BV18b4y1o7L3
命运战士,铠甲精灵主题曲：命运战士,4847 ,217,359,73,130,24,2021-08-04,https://www.bilibili.com/video/BV1bM4y1N7bt
命运战士,【勺子君的实验室】《创世纪》系列回顾·第五话：《创世纪V：命运战士》,5376 ,70,40,42,43,12,2012-03-17,https://www.bilibili.com/video/BV1ix411w7qA
命运战士,An error was raised,,,,,,,,https://www.bilibili.com/video/BV1qU4y1Z7ZZ
命运战士,陈致逸-命运战士 ( 《铠甲勇士》动画主题曲)(超清),745 ,0,5,投币,2,1,2019-03-17,https://www.bilibili.com/video/BV1Zb411J79j
命运战士,教学 无谱 Loudness - Soldier of Fortune Intro and Verse,52 ,0,3,投币,1,分享,2022-02-14,https://www.bilibili.com/video/BV1xm4y1d7qf
命运战士,【铠甲勇士】主题曲 | OP&ED | 片头曲&片尾曲《铠甲勇士》（《命运战士》）&《光的战役》,1298 ,0,25,2,19,2,2020-08-16,https://www.bilibili.com/video/BV19C4y1t7mq
命运战士,【中字】火暴-如何正确地操作和射击自动武器（1989年),1.6万 ,35,498,46,673,22,2022-04-03,https://www.bilibili.com/video/BV1Aq4y1e7M6
命运战士,风鹰铠甲上非诚勿扰？黑犀铠甲是央视主持人？盘盘铠甲勇士饰演者如今现状,94.4万 ,1429,3.1万,3365,4062,350,2021-03-24,https://www.bilibili.com/video/BV13Z4y1A7ei
命运战士,Deep purple --Soldier Of fortune深紫乐队,1442 ,0,23,12,53,18,2018-04-28,https://www.bilibili.com/video/BV1NW411V7G6
命运战士,【画面超赞！！！】快20年前的经典第一人称射击游戏《荣誉勋章：联合袭击》的高清重制版mod（点亮灯塔）,467 ,0,8,10,6,1,2021-03-23,https://www.bilibili.com/video/BV1yh411S7yH
命运战士,国家命运战士到死都不知任务司令对着遗体说我们是搞导弹的_0001,98 ,0,1,投币,收藏,分享,2021-01-25,https://www.bilibili.com/video/BV1EU4y1s7h4
命运战士,An error was raised,,,,,,,,https://www.bilibili.com/video/BV1yT4y1j7aU
命运战士,大佬教你不用连点器就能获得外挂CPS！,18.3万 ,1379,8886,1978,2480,49,2020-09-05,https://www.bilibili.com/video/BV1Ry4y1C75H
命运战士,An error was raised,,,,,,,,https://www.bilibili.com/video/BV1pW411W7HP
game_name,title,view,dm,like,coin,collect,share,upload_date,url
命运战士,An error was raised,,,,,,,,https://www.bilibili.com/video/BV137411u7gS
命运战士,【童年回忆】铠甲勇士 命运战士MV,864 ,3,7,投币,4,5,2018-08-08,https://www.bilibili.com/video/BV1os411g7y8
